time	V(vout)
2.743671586814423e-004	-3.699144e+000
2.762646798385206e-004	-3.700399e+000
2.782646798385208e-004	-3.646622e+000
2.802646798385211e-004	-3.536319e+000
2.822646798385214e-004	-3.370166e+000
2.842646798385216e-004	-3.150480e+000
2.862646798385219e-004	-2.880475e+000
2.882646798385222e-004	-2.564250e+000
2.902646798385224e-004	-2.206732e+000
2.922646798385227e-004	-1.813610e+000
2.942646798385230e-004	-1.391312e+000
2.962646798385232e-004	-9.471986e-001
2.982646798385235e-004	-4.905592e-001
3.002646798385238e-004	-2.653180e-002
3.018547860663152e-004	3.455671e-001
3.035627898100232e-004	7.402708e-001
3.055627898100235e-004	1.189078e+000
3.075627898100238e-004	1.619144e+000
3.095627898100240e-004	2.023422e+000
3.115627898100243e-004	2.395641e+000
3.135627898100245e-004	2.729823e+000
3.155627898100248e-004	3.020737e+000
3.175627898100251e-004	3.263768e+000
3.195627898100253e-004	3.455073e+000
3.215627898100256e-004	3.591633e+000
3.235627898100259e-004	3.671309e+000
3.255627898100261e-004	3.693936e+000
3.274163273880373e-004	3.661739e+000
3.294163273880376e-004	3.570199e+000
3.314163273880379e-004	3.423347e+000
3.334163273880381e-004	3.222510e+000
3.354163273880384e-004	2.970954e+000
3.374163273880387e-004	2.672754e+000
3.394163273880389e-004	2.332735e+000
3.414163273880392e-004	1.956400e+000
3.434163273880395e-004	1.549855e+000
3.454163273880397e-004	1.119795e+000
3.474163273880400e-004	6.738811e-001
3.494163273880403e-004	2.209158e-001
3.496249171111021e-004	1.746057e-001
3.500420965572276e-004	8.607057e-002
3.502545183695967e-004	4.459825e-002
3.503844047001593e-004	2.278291e-002
3.504675918300625e-004	1.133466e-002
3.505394538808482e-004	3.338769e-003
3.505998798660412e-004	-2.400952e-003
3.506555441253004e-004	-7.656330e-003
3.507101088441045e-004	-1.558758e-002
3.507743231272922e-004	-4.304924e-002
3.507968884778941e-004	-7.564231e-002
3.508273529596508e-004	-1.424060e-001
3.508398679623360e-004	-1.615930e-001
3.508568056344013e-004	-1.736273e-001
3.508750479532617e-004	-1.805952e-001
3.508976674884683e-004	-1.845830e-001
3.509364677378654e-004	-1.876498e-001
3.509803227540187e-004	-1.903040e-001
3.510509800423931e-004	-1.959058e-001
3.511395675823877e-004	-2.061861e-001
3.512967574111781e-004	-2.314012e-001
3.515030157386148e-004	-2.732867e-001
3.519117166499684e-004	-3.665008e-001
3.525297813001902e-004	-5.103256e-001
3.531266311717993e-004	-6.483201e-001
3.543203309150159e-004	-9.196945e-001
3.563203309150161e-004	-1.361148e+000
3.583203309150164e-004	-1.781845e+000
3.603203309150167e-004	-2.173906e+000
3.623203309150169e-004	-2.531368e+000
3.643203309150172e-004	-2.848896e+000
3.663203309150175e-004	-3.121708e+000
3.683203309150177e-004	-3.345752e+000
3.703203309150180e-004	-3.517693e+000
3.723203309150183e-004	-3.634948e+000
3.743203309150185e-004	-3.696218e+000
3.762472498058476e-004	-3.700298e+000
3.782472498058478e-004	-3.647235e+000
3.802472498058481e-004	-3.537425e+000
3.822472498058484e-004	-3.371750e+000
3.842472498058486e-004	-3.152517e+000
3.862472498058489e-004	-2.882935e+000
3.882472498058492e-004	-2.567093e+000
3.902472498058494e-004	-2.209910e+000
3.922472498058497e-004	-1.817072e+000
3.942472498058500e-004	-1.395000e+000
3.962472498058502e-004	-9.510365e-001
3.982472498058505e-004	-4.944831e-001
4.002472498058508e-004	-3.046252e-002
4.022472498058510e-004	4.364755e-001
4.042472498058513e-004	8.954815e-001
4.062472498058516e-004	1.338798e+000
4.082472498058518e-004	1.760876e+000
